,time,usuario,device,colocation,acc_x,acc_y,acc_z,la_x,la_y,la_z,Activity
3468,04-04-2022-21:20:45.806,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.683835,1.3311762,-8.001422,-0.5369625,-0.24978268,-0.58706856,Lying
3469,04-04-2022-21:20:45.816,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.722142,1.3694834,-7.929596,-0.49724722,-0.21043026,-0.51383924,Lying
3470,04-04-2022-21:20:45.827,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6886234,1.3599066,-7.9487495,-0.52945805,-0.21889877,-0.5316596,Lying
3471,04-04-2022-21:20:45.836,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.722142,1.364695,-7.9487495,-0.49465084,-0.21302044,-0.5303478,Lying
3472,04-04-2022-21:20:45.846,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6982,1.3215994,-7.9391727,-0.51710415,-0.25505328,-0.5192981,Lying
3473,04-04-2022-21:20:45.857,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6886234,1.3311762,-7.9487495,-0.5253539,-0.24433863,-0.5275216,Lying
3474,04-04-2022-21:20:45.866,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7125654,1.3599066,-7.9104424,-0.49993134,-0.21439481,-0.48771667,Lying
3475,04-04-2022-21:20:45.876,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7029886,1.2785037,-7.920019,-0.5079527,-0.2945851,-0.49573517,Lying
3476,04-04-2022-21:20:45.887,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.674258,1.3215994,-7.9391727,-0.5352092,-0.25035942,-0.5134163,Lying
3477,04-04-2022-21:20:45.897,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7269306,1.3024458,-7.967903,-0.48125362,-0.2685033,-0.5408611,Lying
3478,04-04-2022-21:20:45.906,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.626374,1.3263878,-7.9583263,-0.5805917,-0.2438581,-0.53011703,Lying
3479,04-04-2022-21:20:45.924,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6982,1.2880806,-7.967903,-0.5076275,-0.28146136,-0.5385947,Lying
3480,04-04-2022-21:20:45.927,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7269306,1.2785037,-7.929596,-0.4777646,-0.29009676,-0.49914265,Lying
3481,04-04-2022-21:20:45.937,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.746084,1.388637,-7.9343843,-0.45748186,-0.17910588,-0.5028076,Lying
3482,04-04-2022-21:20:45.946,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.717354,1.3503298,-7.9391727,-0.48500824,-0.21640027,-0.5063772,Lying
3483,04-04-2022-21:20:45.957,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6982,1.2880806,-7.929596,-0.50294304,-0.27762544,-0.49556828,Lying
3484,04-04-2022-21:20:45.967,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.746084,1.283292,-7.9391727,-0.4538622,-0.28140247,-0.5039339,Lying
3485,04-04-2022-21:20:45.977,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6982,1.3072342,-7.97748,-0.50037766,-0.25643778,-0.54088354,Lying
3486,04-04-2022-21:20:45.987,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.731719,1.3934253,-7.920019,-0.4653511,-0.16916275,-0.48193932,Lying
3487,04-04-2022-21:20:45.997,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.683835,1.3120226,-7.881712,-0.51173353,-0.24948514,-0.44215393,Lying
3488,04-04-2022-21:20:46.007,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.741296,1.3263878,-7.9152308,-0.4528551,-0.23404169,-0.474267,Lying
3489,04-04-2022-21:20:46.017,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.717354,1.316811,-7.929596,-0.4752879,-0.242926,-0.48723125,Lying
3490,04-04-2022-21:20:46.027,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7125654,1.364695,-7.9822683,-0.4786377,-0.19384956,-0.53845596,Lying
3491,04-04-2022-21:20:46.037,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.746084,1.3455414,-7.881712,-0.44359064,-0.21180415,-0.43637848,Lying
3492,04-04-2022-21:20:46.048,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.731719,1.3694834,-7.929596,-0.4564314,-0.18674672,-0.48276234,Lying
3493,04-04-2022-21:20:46.057,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7508726,1.340753,-7.967903,-0.43566275,-0.2145102,-0.51952505,Lying
3494,04-04-2022-21:20:46.067,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.683835,1.3359646,-7.953538,-0.5010257,-0.2182678,-0.5035548,Lying
3495,04-04-2022-21:20:46.077,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.731719,1.3359646,-7.9726915,-0.45145416,-0.21722662,-0.5210905,Lying
3496,04-04-2022-21:20:46.087,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.693412,1.364695,-7.896077,-0.48833418,-0.18739462,-0.44306278,Lying
3497,04-04-2022-21:20:46.097,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7269306,1.364695,-7.9152308,-0.45339298,-0.18629622,-0.46080828,Lying
3498,04-04-2022-21:20:46.107,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.741296,1.3694834,-7.9008656,-0.43760967,-0.18041539,-0.44504023,Lying
3499,04-04-2022-21:20:46.117,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.717354,1.3215994,-8.010999,-0.46015358,-0.22706246,-0.55375814,Lying
3500,04-04-2022-21:20:46.127,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.707777,1.3455414,-7.929596,-0.46836662,-0.20208633,-0.47101068,Lying
3501,04-04-2022-21:20:46.138,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.717354,1.2785037,-7.9391727,-0.4572711,-0.2680905,-0.4791155,Lying
3502,04-04-2022-21:20:46.147,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7604494,1.364695,-7.9248075,-0.41258287,-0.18078959,-0.46320295,Lying
3503,04-04-2022-21:20:46.157,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7029886,1.3263878,-8.010999,-0.4685154,-0.21797419,-0.5478978,Lying
3504,04-04-2022-21:20:46.168,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.731719,1.3120226,-7.9343843,-0.43827868,-0.23131573,-0.46982622,Lying
3505,04-04-2022-21:20:46.177,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.683835,1.3215994,-7.9631147,-0.48477268,-0.2205838,-0.4971695,Lying
3506,04-04-2022-21:20:46.187,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6886234,1.3503298,-7.9487495,-0.47858,-0.19068933,-0.4814043,Lying
3507,04-04-2022-21:20:46.198,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.650316,1.3072342,-8.00621,-0.51556396,-0.23262239,-0.5375328,Lying
3508,04-04-2022-21:20:46.207,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7125654,1.3120226,-7.9104424,-0.45197916,-0.2268194,-0.44045258,Lying
3509,04-04-2022-21:20:46.217,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.722142,1.3072342,-7.9008656,-0.44116783,-0.23044753,-0.42961884,Lying
3510,04-04-2022-21:20:46.228,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7125654,1.340753,-7.9487495,-0.44941664,-0.19584143,-0.4761834,Lying
3511,04-04-2022-21:20:46.239,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.693412,1.283292,-7.943961,-0.46728086,-0.25206172,-0.47007656,Lying
3512,04-04-2022-21:20:46.250,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7365074,1.316811,-7.9391727,-0.4228773,-0.21749067,-0.4639945,Lying
3513,04-04-2022-21:20:46.258,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7269306,1.3120226,-7.943961,-0.43113804,-0.22127485,-0.46749306,Lying
3514,04-04-2022-21:20:46.268,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7604494,1.3455414,-7.9583263,-0.3964038,-0.1866107,-0.4806223,Lying
3515,04-04-2022-21:20:46.278,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.717354,1.3742718,-7.9104424,-0.43836784,-0.15673971,-0.4315734,Lying
3516,04-04-2022-21:20:46.288,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.755661,1.2306197,-7.9391727,-0.399014,-0.29924905,-0.45920897,Lying
